"","IC","Model","N","J","TAU0","TAU1","G10","G20","p_choose"
"2100","LOO",5,50,50,0.16,0.16,0.4,0.4,0.17
"2101","DIC",1,70,50,0.16,0.16,0.4,0.4,0.42
"2102","WAIC",1,70,50,0.16,0.16,0.4,0.4,0.62
"2103","LOO",1,70,50,0.16,0.16,0.4,0.4,0.64
"2104","DIC",2,70,50,0.16,0.16,0.4,0.4,0
"2105","WAIC",2,70,50,0.16,0.16,0.4,0.4,0
"2106","LOO",2,70,50,0.16,0.16,0.4,0.4,0
"2107","DIC",3,70,50,0.16,0.16,0.4,0.4,0.31
"2108","WAIC",3,70,50,0.16,0.16,0.4,0.4,0.16
"2109","LOO",3,70,50,0.16,0.16,0.4,0.4,0.14
"2110","DIC",4,70,50,0.16,0.16,0.4,0.4,0
"2111","WAIC",4,70,50,0.16,0.16,0.4,0.4,0
"2112","LOO",4,70,50,0.16,0.16,0.4,0.4,0
"2113","DIC",5,70,50,0.16,0.16,0.4,0.4,0.27
"2114","WAIC",5,70,50,0.16,0.16,0.4,0.4,0.22
"2115","LOO",5,70,50,0.16,0.16,0.4,0.4,0.22
"2116","DIC",1,20,100,0.16,0.16,0.4,0.4,0.43
"2117","WAIC",1,20,100,0.16,0.16,0.4,0.4,0.67
"2118","LOO",1,20,100,0.16,0.16,0.4,0.4,0.69
"2119","DIC",2,20,100,0.16,0.16,0.4,0.4,0
"2120","WAIC",2,20,100,0.16,0.16,0.4,0.4,0
"2121","LOO",2,20,100,0.16,0.16,0.4,0.4,0
"2122","DIC",3,20,100,0.16,0.16,0.4,0.4,0.29
"2123","WAIC",3,20,100,0.16,0.16,0.4,0.4,0.19
"2124","LOO",3,20,100,0.16,0.16,0.4,0.4,0.16
"2125","DIC",4,20,100,0.16,0.16,0.4,0.4,0
"2126","WAIC",4,20,100,0.16,0.16,0.4,0.4,0
"2127","LOO",4,20,100,0.16,0.16,0.4,0.4,0
"2128","DIC",5,20,100,0.16,0.16,0.4,0.4,0.28
"2129","WAIC",5,20,100,0.16,0.16,0.4,0.4,0.14
"2130","LOO",5,20,100,0.16,0.16,0.4,0.4,0.15
"2131","DIC",1,50,100,0.16,0.16,0.4,0.4,0.43
"2132","WAIC",1,50,100,0.16,0.16,0.4,0.4,0.55
"2133","LOO",1,50,100,0.16,0.16,0.4,0.4,0.56
"2134","DIC",2,50,100,0.16,0.16,0.4,0.4,0
"2135","WAIC",2,50,100,0.16,0.16,0.4,0.4,0
"2136","LOO",2,50,100,0.16,0.16,0.4,0.4,0
"2137","DIC",3,50,100,0.16,0.16,0.4,0.4,0.37
"2138","WAIC",3,50,100,0.16,0.16,0.4,0.4,0.27
"2139","LOO",3,50,100,0.16,0.16,0.4,0.4,0.26
"2140","DIC",4,50,100,0.16,0.16,0.4,0.4,0
"2141","WAIC",4,50,100,0.16,0.16,0.4,0.4,0
"2142","LOO",4,50,100,0.16,0.16,0.4,0.4,0
"2143","DIC",5,50,100,0.16,0.16,0.4,0.4,0.2
"2144","WAIC",5,50,100,0.16,0.16,0.4,0.4,0.18
"2145","LOO",5,50,100,0.16,0.16,0.4,0.4,0.18
"2146","DIC",1,70,100,0.16,0.16,0.4,0.4,0.39
"2147","WAIC",1,70,100,0.16,0.16,0.4,0.4,0.62
"2148","LOO",1,70,100,0.16,0.16,0.4,0.4,0.62
"2149","DIC",2,70,100,0.16,0.16,0.4,0.4,0
"2150","WAIC",2,70,100,0.16,0.16,0.4,0.4,0
"2151","LOO",2,70,100,0.16,0.16,0.4,0.4,0
"2152","DIC",3,70,100,0.16,0.16,0.4,0.4,0.26
"2153","WAIC",3,70,100,0.16,0.16,0.4,0.4,0.13
"2154","LOO",3,70,100,0.16,0.16,0.4,0.4,0.13
"2155","DIC",4,70,100,0.16,0.16,0.4,0.4,0
"2156","WAIC",4,70,100,0.16,0.16,0.4,0.4,0
"2157","LOO",4,70,100,0.16,0.16,0.4,0.4,0
"2158","DIC",5,70,100,0.16,0.16,0.4,0.4,0.35
"2159","WAIC",5,70,100,0.16,0.16,0.4,0.4,0.25
"2160","LOO",5,70,100,0.16,0.16,0.4,0.4,0.25
